
game 0 
gen, best, mean, std, median, q1, q3, life
0, 66.174, -1.842905, 12.740921, -5.758897, -5.255301, -5.777652, 0.0
1, 74.777424, 14.013151, 24.332392, 3.721885, 19.273445, -2.70805, 0.0
2, 74.777424, 43.807829, 29.362223, 66.013551, 66.174, 12.183654, 0.0
3, 75.548962, 61.797384, 12.35318, 66.174, 66.174, 57.037064, 0.0
4, 83.933892, 65.899443, 11.307242, 66.174, 74.773487, 66.040287, 0.0
5, 86.3039, 68.344164, 16.640212, 74.76955, 75.439297, 66.174, 22.0
6, 86.706278, 73.2205, 13.030276, 75.100805, 85.654177, 66.544679, 22.0
7, 86.85194, 73.206871, 17.933055, 75.184388, 86.273074, 66.541428, 23.2
8, 86.85194, 78.363409, 14.825582, 86.273074, 86.32578, 75.171054, 25.6
9, 86.85194, 69.556749, 19.108724, 75.030152, 86.242988, 66.019218, 25.6
10, 88.013532, 73.015917, 21.368201, 85.8539, 86.706278, 66.170359, 38.8
11, 89.4839, 71.937766, 21.738127, 79.879914, 86.850644, 66.041702, 49.0
12, 89.4839, 68.595478, 25.306303, 85.361748, 88.013532, 57.050009, 49.0
13, 89.7239, 76.359179, 18.963856, 87.963182, 89.354745, 68.4602, 51.4
14, 91.106695, 74.968715, 24.325389, 88.136229, 89.4839, 75.203225, 64.0
15, 91.106695, 77.599308, 19.153165, 89.106344, 89.6039, 74.993683, 64.0
game 1 
gen, best, mean, std, median, q1, q3, life
0, 57.051965, -1.963437, 10.581286, -5.758902, -3.424534, -5.777652, 0.0
1, 66.597323, 18.185653, 28.181206, 3.721885, 52.509903, -5.743003, 0.0
2, 66.597323, 52.221308, 24.262184, 66.112982, 66.174, 57.036421, 0.0
3, 66.638708, 64.39999, 6.568862, 66.174, 66.174, 66.174, 0.0
4, 66.638708, 65.671966, 2.172734, 66.174, 66.174, 66.174, 0.0
5, 66.638708, 64.24764, 6.620535, 66.174, 66.174, 66.174, 0.0
6, 75.191858, 65.762372, 3.847977, 66.174, 66.597323, 66.174, 0.0
7, 75.191858, 62.891188, 10.94674, 66.174, 66.597323, 66.174, 0.0
8, 84.99289, 64.349019, 13.073148, 66.59958, 66.634024, 66.174, 7.0
9, 85.169573, 73.750005, 6.763425, 75.190358, 75.332736, 66.601837, 8.8
