

game 0 
gen, best, mean, std, median, q1, q3, life
0, 32.940136, -4.451222, 7.051277, -6.09871, -6.002038, -6.301249, 11.239341
1, 86.680046, 8.655169, 18.825379, 4.370939, 19.398409, -6.053155, 22.707123
2, 86.770188, 24.704157, 21.216636, 20.670659, 33.137108, 9.887061, 24.332932
3, 87.1148, 41.851475, 23.613737, 36.785308, 53.896956, 32.891853, 29.718796
4, 87.812151, 53.722061, 24.75943, 46.810262, 86.522261, 32.983971, 38.277965
5, 87.812151, 52.575486, 29.134205, 40.682289, 86.713398, 20.662872, 38.277965
6, 87.812151, 46.054578, 27.995657, 32.940136, 86.583467, 20.662872, 38.277965
7, 87.812151, 52.759199, 28.303327, 44.336982, 87.117853, 22.050276, 38.277965
8, 87.812151, 60.732317, 29.013439, 78.799133, 87.193111, 26.199448, 38.277965
9, 87.812151, 63.49168, 29.61862, 86.890143, 87.258313, 27.909771, 38.277965
10, 87.844972, 61.265761, 28.984709, 77.356619, 87.176872, 27.132691, 38.6122
11, 88.210826, 66.073776, 28.248427, 87.383783, 87.81176, 35.231836, 38.6122
12, 88.210826, 71.766697, 24.560777, 87.688274, 87.84568, 55.832356, 38.813258
13, 88.210826, 75.095766, 22.958121, 87.703972, 87.837298, 70.749846, 38.813258
14, 88.210826, 63.038332, 29.454811, 86.239945, 87.835561, 28.16677, 41.511661
15, 88.36061, 72.024761, 23.888754, 87.703972, 88.210826, 56.234717, 41.511661
game 1 
gen, best, mean, std, median, q1, q3, life
0, 40.104386, -1.897169, 10.26813, -6.115615, -5.789218, -6.58452, 48.086165
1, 86.199189, 13.433228, 19.371281, 9.48515, 20.067899, 1.30913, 48.086165
2, 86.199189, 27.344552, 22.587204, 27.288243, 40.085996, 6.973568, 48.086165
3, 88.732825, 37.655358, 24.470632, 33.197626, 41.055387, 19.778861, 48.086165
4, 88.732825, 50.598475, 27.020809, 40.085996, 85.97016, 32.891853, 50.095999
5, 88.732825, 56.80004, 28.349838, 41.337489, 86.323121, 32.892209, 50.095999
6, 88.732825, 52.110306, 28.703372, 40.085996, 86.771166, 32.903923, 50.095999
7, 88.759581, 54.156385, 27.510502, 40.085996, 88.675327, 33.468098, 50.095999
8, 88.759581, 54.353639, 26.603342, 33.654157, 88.09806, 33.376687, 50.095999
9, 88.813922, 54.92366, 27.685171, 38.894146, 88.09806, 33.210351, 50.095999
10, 88.813922, 52.467263, 28.634723, 36.092213, 88.404411, 33.146933, 50.598884
11, 88.84883, 54.956902, 28.130226, 33.516382, 87.750938, 33.410232, 50.598884
12, 89.03177, 59.045465, 25.981671, 44.727587, 87.84822, 33.450674, 50.598884
13, 89.03177, 46.429079, 31.363574, 33.559299, 86.572081, 33.155581, 50.598884
14, 89.03177, 53.551676, 27.778595, 40.459877, 88.116748, 33.097544, 50.598884
15, 89.035993, 58.132789, 27.700311, 42.109954, 88.717533, 33.44495, 50.598884
game 2 
gen, best, mean, std, median, q1, q3, life
0, 34.496407, 0.42944, 10.843534, -6.043285, 5.62744, -6.472521, 13.209554
1, 34.496407, 15.046671, 10.939853, 19.090911, 20.66131, 5.589741, 14.770168
2, 86.541337, 19.404221, 20.96235, 20.604504, 29.456982, 3.259255, 23.629317
3, 86.674042, 33.676822, 27.698352, 32.917692, 41.71282, 12.725406, 23.639985
4, 87.038182, 52.985955, 30.184145, 40.501443, 86.541337, 32.903923, 29.11738
5, 87.038182, 62.502735, 28.323953, 86.420668, 86.669218, 27.842902, 29.11738
6, 87.054983, 70.333409, 23.146147, 86.568049, 86.749107, 56.084786, 29.191486
7, 87.174694, 72.27247, 24.566961, 86.641947, 86.914634, 64.801679, 30.980033
8, 87.257158, 75.650904, 23.922633, 86.702563, 87.040288, 86.403647, 30.980033
9, 87.257158, 81.616763, 14.043629, 86.802678, 87.042384, 86.433967, 30.980033
10, 87.257158, 78.769582, 19.013267, 86.757276, 87.056946, 86.376117, 30.980033
11, 87.257158, 82.792922, 13.334595, 86.904392, 87.107341, 86.60959, 30.980033
12, 87.257158, 82.137106, 12.886278, 86.869642, 87.142314, 86.619141, 30.980033
13, 87.257158, 82.154738, 12.818127, 86.899127, 87.1887, 86.515686, 30.980033
14, 87.257158, 84.13155, 11.929491, 87.080216, 87.200336, 86.900622, 30.980033
15, 87.257158, 80.517976, 17.027285, 87.012165, 87.160955, 86.815872, 30.980033
game 3 
gen, best, mean, std, median, q1, q3, life
0, 32.960298, -0.933857, 9.910324, -6.092588, 3.034805, -6.369381, 11.742939
1, 63.591156, 18.452506, 12.204966, 20.633011, 23.394599, 9.013491, 12.840354
2, 63.640434, 31.576171, 11.488176, 32.950217, 33.324287, 24.146294, 37.465352
3, 87.174705, 42.166777, 17.026281, 37.043465, 63.298181, 32.891853, 37.465352
4, 87.174705, 50.95212, 19.734162, 55.193603, 63.636543, 33.230863, 37.465352
