
game 0 mutation rate 1
gen, best, mean, std, median, q1, q3
0, 56.773463, 0.862145, 13.973645, -5.831882, -5.834811, 3.448653
1, 56.773463, 7.909941, 17.874367, 4.272612, -5.831882, 21.174
2, 56.773463, 15.41284, 20.213628, 12.732235, -4.815892, 21.174
3, 56.773463, 20.893117, 21.380063, 21.174, 2.857611, 32.537741
4, 65.879703, 29.198652, 22.379086, 22.095302, 10.541096, 50.346323
5, 65.879703, 36.628128, 21.755351, 43.322207, 21.174, 56.773463
6, 87.19141, 46.232488, 18.20081, 56.773463, 21.727348, 56.773463
7, 87.19141, 50.460901, 17.809356, 56.773463, 36.714993, 56.773463
8, 87.19141, 52.370529, 17.664769, 56.773463, 47.849853, 56.773463
9, 87.19141, 51.028944, 19.003642, 56.773463, 30.174, 56.881903
10, 87.19141, 54.090719, 19.752401, 56.773463, 56.769542, 65.774453
game 1 mutation rate 1
gen, best, mean, std, median, q1, q3
0, 56.877507, -2.698281, 9.981796, -5.834811, -5.853807, -5.826
1, 74.777424, 5.087392, 18.826324, -5.826, -5.831882, 4.322542
2, 74.777424, 12.916723, 23.715057, 4.272612, -5.831882, 21.174
3, 74.777424, 18.230846, 24.780519, 21.174, -5.826, 30.171791
4, 85.7894, 23.201317, 26.298206, 21.174, -4.693445, 56.773463
5, 85.7894, 31.989931, 26.340015, 21.422675, 4.272612, 56.773463
6, 85.7894, 37.302033, 24.112759, 26.183517, 21.173264, 56.854217
7, 85.7894, 41.50587, 24.03129, 47.826813, 21.174, 56.863355
8, 85.7894, 33.040923, 29.366314, 21.174, 3.174, 65.770011
9, 85.7894, 37.458959, 29.265105, 30.174, 9.808926, 65.773463
10, 86.99141, 39.025259, 28.300444, 30.174, 12.911503, 65.774453
game 2 mutation rate 1
gen, best, mean, std, median, q1, q3
0, 56.888533, 0.60758, 11.992962, -5.831882, -5.834811, 3.002931
1, 65.727123, 9.927616, 17.514667, 4.272612, -5.453924, 21.174
2, 86.193424, 17.25737, 24.142938, 17.058877, -4.682131, 21.670931
3, 86.193424, 27.046509, 24.840699, 21.174, 4.317869, 47.881356
4, 86.193424, 32.398812, 25.675693, 21.174, 4.317869, 56.773463
5, 86.193424, 39.994435, 25.186121, 47.813055, 21.174, 56.773463
6, 86.193424, 43.323344, 23.943215, 56.773463, 21.174, 56.803654
7, 86.193424, 43.348379, 24.117295, 56.773463, 21.174, 59.09818
8, 86.193424, 47.983738, 25.396491, 56.773463, 21.174, 65.783491
9, 86.593424, 44.320385, 27.724956, 48.030159, 21.174, 74.7281
10, 88.724654, 50.431748, 26.415876, 56.773463, 21.174, 74.752994
game 3 mutation rate 1
gen, best, mean, std, median, q1, q3
0, 56.773463, 0.862145, 13.973645, -5.831882, -5.834811, 3.448653
1, 56.773463, 7.909941, 17.874367, 4.272612, -5.831882, 21.174
2, 56.773463, 15.41284, 20.213628, 12.732235, -4.815892, 21.174
3, 56.773463, 20.893117, 21.380063, 21.174, 2.857611, 32.537741
4, 65.879703, 29.198652, 22.379086, 22.095302, 10.541096, 50.346323
5, 65.879703, 36.628128, 21.755351, 43.322207, 21.174, 56.773463
6, 87.19141, 46.232488, 18.20081, 56.773463, 21.727348, 56.773463
7, 87.19141, 50.460901, 17.809356, 56.773463, 36.714993, 56.773463
8, 87.19141, 52.370529, 17.664769, 56.773463, 47.849853, 56.773463
9, 87.19141, 51.028944, 19.003642, 56.773463, 30.174, 56.881903
10, 87.19141, 54.090719, 19.752401, 56.773463, 56.769542, 65.774453
game 4 mutation rate 1
gen, best, mean, std, median, q1, q3
0, 56.877507, -2.698281, 9.981796, -5.834811, -5.853807, -5.826
1, 74.777424, 5.087392, 18.826324, -5.826, -5.831882, 4.322542
