Algorithm = 1, Group = 1, Game = 0, Gen = 5 sum_player_life = 163.2000000000008, mean_enemy_life = 26.25, sum_time = 2130, mean_fitnesses = 62.859044907549674
Algorithm = 1, Group = 1, Game = 0, Gen = 6 sum_player_life = 126.00000000000082, mean_enemy_life = 31.25, sum_time = 2176, mean_fitnesses = 57.88113860512194
Algorithm = 1, Group = 1, Game = 0, Gen = 7 sum_player_life = 126.60000000000085, mean_enemy_life = 22.5, sum_time = 2279, mean_fitnesses = 65.70714863432173
Algorithm = 1, Group = 1, Game = 0, Gen = 8 sum_player_life = 223.00000000000094, mean_enemy_life = 27.5, sum_time = 1790, mean_fitnesses = 62.64303332367428
Algorithm = 1, Group = 1, Game = 0, Gen = 9 sum_player_life = 225.40000000000094, mean_enemy_life = 27.5, sum_time = 1790, mean_fitnesses = 62.67303332367428
Algorithm = 1, Group = 1, Game = 0, Gen = 10 sum_player_life = 225.40000000000094, mean_enemy_life = 27.5, sum_time = 1790, mean_fitnesses = 62.67303332367428
Algorithm = 1, Group = 1, Game = 0, Gen = 11 sum_player_life = 224.80000000000095, mean_enemy_life = 27.5, sum_time = 1790, mean_fitnesses = 62.66553332367428
Algorithm = 1, Group = 1, Game = 0, Gen = 12 sum_player_life = 226.60000000000093, mean_enemy_life = 27.5, sum_time = 1790, mean_fitnesses = 62.68803332367428
Algorithm = 1, Group = 1, Game = 0, Gen = 13 sum_player_life = 232.00000000000097, mean_enemy_life = 27.5, sum_time = 1790, mean_fitnesses = 62.75553332367428
Algorithm = 1, Group = 1, Game = 0, Gen = 14 sum_player_life = 225.40000000000094, mean_enemy_life = 27.5, sum_time = 1790, mean_fitnesses = 62.67303332367428
Algorithm = 1, Group = 1, Game = 0, Gen = 15 sum_player_life = 228.40000000000094, mean_enemy_life = 27.5, sum_time = 1790, mean_fitnesses = 62.71053332367428
Algorithm = 1, Group = 1, Game = 1, Gen = 7 sum_player_life = 170.80000000000086, mean_enemy_life = 28.75, sum_time = 2244, mean_fitnesses = 60.7157793175808
Algorithm = 1, Group = 1, Game = 1, Gen = 8 sum_player_life = 219.40000000000094, mean_enemy_life = 28.75, sum_time = 2000, mean_fitnesses = 61.390441114163565
Algorithm = 1, Group = 1, Game = 1, Gen = 9 sum_player_life = 216.40000000000094, mean_enemy_life = 28.75, sum_time = 2000, mean_fitnesses = 61.35294111416357
Algorithm = 1, Group = 1, Game = 1, Gen = 10 sum_player_life = 209.00000000000085, mean_enemy_life = 28.75, sum_time = 2012, mean_fitnesses = 61.25393420869869
Algorithm = 1, Group = 1, Game = 1, Gen = 11 sum_player_life = 237.2000000000009, mean_enemy_life = 28.75, sum_time = 1934, mean_fitnesses = 61.636027859119935
Algorithm = 1, Group = 1, Game = 1, Gen = 12 sum_player_life = 218.0000000000008, mean_enemy_life = 31.25, sum_time = 1908, mean_fitnesses = 59.16449486936165
Algorithm = 1, Group = 1, Game = 1, Gen = 14 sum_player_life = 232.40000000000083, mean_enemy_life = 31.25, sum_time = 1906, mean_fitnesses = 59.345113682506636
Algorithm = 1, Group = 1, Game = 1, Gen = 15 sum_player_life = 212.00000000000082, mean_enemy_life = 31.25, sum_time = 2159, mean_fitnesses = 59.02921065413196
Algorithm = 1, Group = 1, Game = 5, Gen = 7 sum_player_life = 64.80000000000071, mean_enemy_life = 30.0, sum_time = 2196, mean_fitnesses = 58.26246543203663
Algorithm = 1, Group = 1, Game = 6, Gen = 6 sum_player_life = 125.60000000000073, mean_enemy_life = 42.5, sum_time = 2187, mean_fitnesses = 47.77253750736234
Algorithm = 1, Group = 1, Game = 6, Gen = 8 sum_player_life = 109.40000000000072, mean_enemy_life = 32.5, sum_time = 2282, mean_fitnesses = 56.514827988526996
Algorithm = 1, Group = 1, Game = 6, Gen = 12 sum_player_life = 133.60000000000088, mean_enemy_life = 41.25, sum_time = 1869, mean_fitnesses = 49.12248216160067
Algorithm = 1, Group = 1, Game = 6, Gen = 13 sum_player_life = 136.60000000000088, mean_enemy_life = 41.25, sum_time = 1869, mean_fitnesses = 49.159982161600674
