
game 0 
gen, best, mean, std, median, q1, q3, life
0, 57.036421, -2.22559, 11.59218, -5.758902, -5.297046, -5.777652, 0.0
1, 57.247427, 13.292852, 24.017353, 3.610928, 32.437567, -2.70805, 0.0
2, 57.247427, 39.572826, 26.102363, 57.036421, 57.036421, 3.721885, 0.0
3, 57.615505, 47.41827, 20.610297, 57.036421, 57.036421, 57.036421, 0.0
4, 57.615505, 45.336597, 23.051602, 57.036421, 57.247427, 56.998622, 0.0
5, 66.610928, 46.51583, 22.588346, 57.564289, 57.615505, 57.178221, 0.0
6, 75.171054, 61.23053, 4.638961, 57.615505, 66.29648, 57.615505, 21.4
7, 86.126285, 62.518016, 12.549568, 66.321572, 66.572857, 57.615505, 21.4
8, 86.126285, 62.97581, 16.882188, 66.519396, 66.605285, 57.615505, 21.4
9, 86.218586, 73.636281, 11.006413, 75.25555, 86.126285, 66.192678, 21.4
10, 86.218586, 71.596998, 21.432442, 86.112435, 86.126285, 66.001073, 21.4
11, 86.218586, 62.47415, 34.70013, 86.126285, 86.126285, 36.825635, 21.4
12, 86.549357, 70.832842, 27.803702, 86.126285, 86.218586, 66.30022, 24.4
13, 86.787729, 75.473669, 22.852783, 86.218586, 86.218586, 85.745912, 25.6
14, 86.787729, 75.128705, 25.493958, 86.218586, 86.549357, 85.451529, 26.8
15, 87.087729, 65.530388, 31.30563, 86.352711, 86.787729, 57.165941, 26.8
game 1 
gen, best, mean, std, median, q1, q3, life
0, 4.795307, -3.559322, 3.892499, -5.743003, -3.354364, -5.777652, 0.0
1, 66.21004, 1.89836, 10.56049, 3.560788, 3.721885, -5.475395, 0.0
2, 66.21004, 11.071205, 19.220647, 3.721885, 4.829665, 3.721885, 0.0
3, 66.21004, 32.882126, 28.723611, 43.474554, 57.220804, 3.721885, 0.0
4, 66.282972, 55.425889, 19.084361, 61.730323, 66.21004, 57.038356, 0.0
5, 66.557582, 61.028203, 14.238195, 66.21004, 66.276415, 66.074681, 0.0
6, 66.588354, 63.558773, 4.215875, 66.276415, 66.285443, 57.26027, 0.0
7, 75.266659, 64.735633, 3.994691, 66.28462, 66.557582, 66.233276, 0.0
8, 85.064258, 58.359835, 20.807067, 66.557582, 66.588354, 57.615505, 8.2
9, 85.064258, 58.873895, 18.519131, 66.142982, 66.588354, 57.247427, 8.2
10, 85.651679, 61.207647, 22.183786, 66.588354, 75.183674, 57.3347, 14.2
11, 85.651679, 63.238919, 28.14866, 75.168118, 84.243468, 66.059336, 14.2
12, 86.014809, 79.255752, 8.49976, 85.064258, 85.389526, 75.247427, 17.8
13, 86.071679, 70.022536, 25.366939, 84.441103, 85.651679, 66.250607, 18.4
14, 86.071679, 67.012738, 29.489462, 80.310463, 85.652587, 66.35243, 18.4
15, 86.081098, 73.933981, 20.729941, 85.681679, 85.901098, 74.991847, 18.4
game 2 
gen, best, mean, std, median, q1, q3, life
0, 75.263428, 0.723864, 19.550241, -5.769881, -5.529092, -5.782282, 0.0
