
game 0 
gen, best, mean, std, median, q1, q3, life
0, 92.58272, 33.337056, 42.122045, 16.846029, 87.579602, -5.545177, 80.0
1, 92.58272, 41.526123, 39.448203, 30.468685, 87.527, -2.966925, 80.0
2, 92.58272, 43.739412, 41.597149, 39.223927, 87.727, -5.028799, 80.0
3, 92.58272, 52.668662, 38.846624, 62.211593, 91.763544, 21.3094, 80.0
4, 92.58272, 56.36646, 35.009915, 57.758309, 89.601504, 30.203942, 80.0
5, 92.58272, 57.716914, 32.295238, 66.156939, 87.884804, 30.203942, 80.0
6, 92.58272, 63.44512, 29.883071, 85.62385, 91.772379, 39.273533, 80.0
7, 92.58272, 70.519272, 26.170357, 87.727, 91.535522, 39.454823, 80.0
8, 93.82385, 73.007304, 23.547416, 87.661527, 91.431676, 48.195688, 90.0
9, 93.82385, 73.654981, 23.241268, 87.727, 91.772379, 48.285739, 90.0
10, 93.82385, 81.043087, 18.031011, 88.007241, 91.828375, 85.62385, 90.0
11, 93.82385, 78.230079, 21.400586, 87.727, 92.215763, 78.014867, 90.0
12, 93.82385, 83.83023, 14.749928, 87.727, 92.375623, 85.62385, 90.0
13, 93.82385, 87.530575, 9.980982, 89.502788, 92.46143, 87.727, 90.0
14, 93.82385, 89.224544, 5.52525, 89.565259, 92.494055, 87.727, 90.0
15, 93.82385, 90.561177, 2.418336, 91.13202, 92.58272, 87.873351, 90.0
game 1 
gen, best, mean, std, median, q1, q3, life
0, 91.772379, 19.329877, 35.714841, -5.313206, 36.916156, -5.786129, 74.0
1, 91.772379, 25.832045, 39.225371, 3.466611, 74.018873, -5.774552, 74.0
2, 92.576119, 37.656556, 40.542389, 30.203942, 87.201213, -5.533389, 76.0
3, 92.576119, 41.83768, 39.654635, 30.203942, 88.232877, 5.81823, 76.0
4, 92.576119, 49.182104, 40.838289, 44.08711, 87.884804, -2.872773, 76.0
5, 92.576119, 54.703456, 38.662285, 85.62385, 91.771481, 30.045213, 76.0
6, 92.576119, 54.394242, 36.224849, 61.449747, 87.727, 30.203942, 76.0
7, 92.576119, 64.658172, 30.905061, 85.62385, 91.771481, 32.453942, 76.0
8, 92.576119, 70.940166, 27.738793, 87.689946, 91.772379, 39.266662, 76.0
9, 92.576119, 73.692379, 24.457879, 87.727, 91.772379, 57.539657, 76.0
10, 92.58272, 74.517718, 26.333973, 88.467465, 92.379644, 48.392102, 76.0
11, 92.58272, 79.579662, 22.444909, 89.95403, 92.379644, 85.846688, 76.0
12, 92.58272, 81.957245, 20.111029, 89.332628, 92.500134, 87.727, 76.0
13, 92.58272, 79.366079, 21.816282, 88.887396, 92.309104, 87.17699, 76.0
14, 92.58272, 82.067099, 18.61539, 87.727, 91.772379, 87.32699, 76.0
15, 92.58272, 87.152435, 10.273245, 88.974656, 92.569562, 87.727, 76.0
game 2 
gen, best, mean, std, median, q1, q3, life
0, 91.772379, 19.329877, 35.714841, -5.313206, 36.916156, -5.786129, 74.0
1, 91.772379, 25.832045, 39.225371, 3.466611, 74.018873, -5.774552, 74.0
2, 92.576119, 37.656556, 40.542389, 30.203942, 87.201213, -5.533389, 76.0
3, 92.576119, 41.83768, 39.654635, 30.203942, 88.232877, 5.81823, 76.0
4, 92.576119, 49.182104, 40.838289, 44.08711, 87.884804, -2.872773, 76.0
5, 92.576119, 54.703456, 38.662285, 85.62385, 91.771481, 30.045213, 76.0
6, 92.576119, 54.394242, 36.224849, 61.449747, 87.727, 30.203942, 76.0
7, 92.576119, 64.658172, 30.905061, 85.62385, 91.771481, 32.453942, 76.0
8, 92.576119, 70.940166, 27.738793, 87.689946, 91.772379, 39.266662, 76.0
9, 92.576119, 73.692379, 24.457879, 87.727, 91.772379, 57.539657, 76.0
10, 92.58272, 74.517718, 26.333973, 88.467465, 92.379644, 48.392102, 76.0
11, 92.58272, 79.579662, 22.444909, 89.95403, 92.379644, 85.846688, 76.0
12, 92.58272, 81.957245, 20.111029, 89.332628, 92.500134, 87.727, 76.0
13, 92.58272, 79.366079, 21.816282, 88.887396, 92.309104, 87.17699, 76.0
14, 92.58272, 82.067099, 18.61539, 87.727, 91.772379, 87.32699, 76.0
15, 92.58272, 87.152435, 10.273245, 88.974656, 92.569562, 87.727, 76.0
game 3 
gen, best, mean, std, median, q1, q3, life
0, 91.772379, 19.329877, 35.714841, -5.313206, 36.916156, -5.786129, 74.0
1, 91.772379, 25.832045, 39.225371, 3.466611, 74.018873, -5.774552, 74.0
2, 92.576119, 37.656556, 40.542389, 30.203942, 87.201213, -5.533389, 76.0
3, 92.576119, 41.83768, 39.654635, 30.203942, 88.232877, 5.81823, 76.0
4, 92.576119, 49.182104, 40.838289, 44.08711, 87.884804, -2.872773, 76.0
5, 92.576119, 54.703456, 38.662285, 85.62385, 91.771481, 30.045213, 76.0
6, 92.576119, 54.394242, 36.224849, 61.449747, 87.727, 30.203942, 76.0
7, 92.576119, 64.658172, 30.905061, 85.62385, 91.771481, 32.453942, 76.0
8, 92.576119, 70.940166, 27.738793, 87.689946, 91.772379, 39.266662, 76.0
9, 92.576119, 73.692379, 24.457879, 87.727, 91.772379, 57.539657, 76.0
10, 92.58272, 74.517718, 26.333973, 88.467465, 92.379644, 48.392102, 76.0
11, 92.58272, 79.579662, 22.444909, 89.95403, 92.379644, 85.846688, 76.0
12, 92.58272, 81.957245, 20.111029, 89.332628, 92.500134, 87.727, 76.0
13, 92.58272, 79.366079, 21.816282, 88.887396, 92.309104, 87.17699, 76.0
14, 92.58272, 82.067099, 18.61539, 87.727, 91.772379, 87.32699, 76.0
15, 92.58272, 87.152435, 10.273245, 88.974656, 92.569562, 87.727, 76.0
game 4 
gen, best, mean, std, median, q1, q3, life
0, 91.772379, 19.329877, 35.714841, -5.313206, 36.916156, -5.786129, 74.0
1, 91.772379, 25.832045, 39.225371, 3.466611, 74.018873, -5.774552, 74.0
2, 92.576119, 37.656556, 40.542389, 30.203942, 87.201213, -5.533389, 76.0
3, 92.576119, 41.83768, 39.654635, 30.203942, 88.232877, 5.81823, 76.0
4, 92.576119, 49.182104, 40.838289, 44.08711, 87.884804, -2.872773, 76.0
5, 92.576119, 54.703456, 38.662285, 85.62385, 91.771481, 30.045213, 76.0
6, 92.576119, 54.394242, 36.224849, 61.449747, 87.727, 30.203942, 76.0
7, 92.576119, 64.658172, 30.905061, 85.62385, 91.771481, 32.453942, 76.0
8, 92.576119, 70.940166, 27.738793, 87.689946, 91.772379, 39.266662, 76.0
9, 92.576119, 73.692379, 24.457879, 87.727, 91.772379, 57.539657, 76.0
10, 92.58272, 74.517718, 26.333973, 88.467465, 92.379644, 48.392102, 76.0
11, 92.58272, 79.579662, 22.444909, 89.95403, 92.379644, 85.846688, 76.0
12, 92.58272, 81.957245, 20.111029, 89.332628, 92.500134, 87.727, 76.0
13, 92.58272, 79.366079, 21.816282, 88.887396, 92.309104, 87.17699, 76.0
14, 92.58272, 82.067099, 18.61539, 87.727, 91.772379, 87.32699, 76.0
15, 92.58272, 87.152435, 10.273245, 88.974656, 92.569562, 87.727, 76.0
game 5 
gen, best, mean, std, median, q1, q3, life
0, 91.772379, 19.329877, 35.714841, -5.313206, 36.916156, -5.786129, 74.0
1, 91.772379, 25.832045, 39.225371, 3.466611, 74.018873, -5.774552, 74.0
2, 92.576119, 37.656556, 40.542389, 30.203942, 87.201213, -5.533389, 76.0
3, 92.576119, 41.83768, 39.654635, 30.203942, 88.232877, 5.81823, 76.0
4, 92.576119, 49.182104, 40.838289, 44.08711, 87.884804, -2.872773, 76.0
5, 92.576119, 54.703456, 38.662285, 85.62385, 91.771481, 30.045213, 76.0
6, 92.576119, 54.394242, 36.224849, 61.449747, 87.727, 30.203942, 76.0
7, 92.576119, 64.658172, 30.905061, 85.62385, 91.771481, 32.453942, 76.0
8, 92.576119, 70.940166, 27.738793, 87.689946, 91.772379, 39.266662, 76.0
9, 92.576119, 73.692379, 24.457879, 87.727, 91.772379, 57.539657, 76.0
10, 92.58272, 74.517718, 26.333973, 88.467465, 92.379644, 48.392102, 76.0
11, 92.58272, 79.579662, 22.444909, 89.95403, 92.379644, 85.846688, 76.0
12, 92.58272, 81.957245, 20.111029, 89.332628, 92.500134, 87.727, 76.0
13, 92.58272, 79.366079, 21.816282, 88.887396, 92.309104, 87.17699, 76.0
14, 92.58272, 82.067099, 18.61539, 87.727, 91.772379, 87.32699, 76.0
15, 92.58272, 87.152435, 10.273245, 88.974656, 92.569562, 87.727, 76.0
game 6 
gen, best, mean, std, median, q1, q3, life
0, 91.772379, 19.329877, 35.714841, -5.313206, 36.916156, -5.786129, 74.0
1, 91.772379, 25.832045, 39.225371, 3.466611, 74.018873, -5.774552, 74.0
2, 92.576119, 37.656556, 40.542389, 30.203942, 87.201213, -5.533389, 76.0
3, 92.576119, 41.83768, 39.654635, 30.203942, 88.232877, 5.81823, 76.0
4, 92.576119, 49.182104, 40.838289, 44.08711, 87.884804, -2.872773, 76.0
5, 92.576119, 54.703456, 38.662285, 85.62385, 91.771481, 30.045213, 76.0
6, 92.576119, 54.394242, 36.224849, 61.449747, 87.727, 30.203942, 76.0
7, 92.576119, 64.658172, 30.905061, 85.62385, 91.771481, 32.453942, 76.0
8, 92.576119, 70.940166, 27.738793, 87.689946, 91.772379, 39.266662, 76.0
9, 92.576119, 73.692379, 24.457879, 87.727, 91.772379, 57.539657, 76.0
10, 92.58272, 74.517718, 26.333973, 88.467465, 92.379644, 48.392102, 76.0
11, 92.58272, 79.579662, 22.444909, 89.95403, 92.379644, 85.846688, 76.0
12, 92.58272, 81.957245, 20.111029, 89.332628, 92.500134, 87.727, 76.0
13, 92.58272, 79.366079, 21.816282, 88.887396, 92.309104, 87.17699, 76.0
14, 92.58272, 82.067099, 18.61539, 87.727, 91.772379, 87.32699, 76.0
15, 92.58272, 87.152435, 10.273245, 88.974656, 92.569562, 87.727, 76.0
game 7 
gen, best, mean, std, median, q1, q3, life
0, 91.772379, 19.329877, 35.714841, -5.313206, 36.916156, -5.786129, 74.0
1, 91.772379, 25.832045, 39.225371, 3.466611, 74.018873, -5.774552, 74.0
2, 92.576119, 37.656556, 40.542389, 30.203942, 87.201213, -5.533389, 76.0
3, 92.576119, 41.83768, 39.654635, 30.203942, 88.232877, 5.81823, 76.0
4, 92.576119, 49.182104, 40.838289, 44.08711, 87.884804, -2.872773, 76.0
5, 92.576119, 54.703456, 38.662285, 85.62385, 91.771481, 30.045213, 76.0
6, 92.576119, 54.394242, 36.224849, 61.449747, 87.727, 30.203942, 76.0
7, 92.576119, 64.658172, 30.905061, 85.62385, 91.771481, 32.453942, 76.0
8, 92.576119, 70.940166, 27.738793, 87.689946, 91.772379, 39.266662, 76.0
9, 92.576119, 73.692379, 24.457879, 87.727, 91.772379, 57.539657, 76.0
10, 92.58272, 74.517718, 26.333973, 88.467465, 92.379644, 48.392102, 76.0
11, 92.58272, 79.579662, 22.444909, 89.95403, 92.379644, 85.846688, 76.0
12, 92.58272, 81.957245, 20.111029, 89.332628, 92.500134, 87.727, 76.0
13, 92.58272, 79.366079, 21.816282, 88.887396, 92.309104, 87.17699, 76.0
14, 92.58272, 82.067099, 18.61539, 87.727, 91.772379, 87.32699, 76.0
15, 92.58272, 87.152435, 10.273245, 88.974656, 92.569562, 87.727, 76.0
game 8 
gen, best, mean, std, median, q1, q3, life
0, 91.772379, 19.329877, 35.714841, -5.313206, 36.916156, -5.786129, 74.0
1, 91.772379, 25.832045, 39.225371, 3.466611, 74.018873, -5.774552, 74.0
2, 92.576119, 37.656556, 40.542389, 30.203942, 87.201213, -5.533389, 76.0
3, 92.576119, 41.83768, 39.654635, 30.203942, 88.232877, 5.81823, 76.0
4, 92.576119, 49.182104, 40.838289, 44.08711, 87.884804, -2.872773, 76.0
5, 92.576119, 54.703456, 38.662285, 85.62385, 91.771481, 30.045213, 76.0
6, 92.576119, 54.394242, 36.224849, 61.449747, 87.727, 30.203942, 76.0
7, 92.576119, 64.658172, 30.905061, 85.62385, 91.771481, 32.453942, 76.0
8, 92.576119, 70.940166, 27.738793, 87.689946, 91.772379, 39.266662, 76.0
9, 92.576119, 73.692379, 24.457879, 87.727, 91.772379, 57.539657, 76.0
10, 92.58272, 74.517718, 26.333973, 88.467465, 92.379644, 48.392102, 76.0
11, 92.58272, 79.579662, 22.444909, 89.95403, 92.379644, 85.846688, 76.0
12, 92.58272, 81.957245, 20.111029, 89.332628, 92.500134, 87.727, 76.0
13, 92.58272, 79.366079, 21.816282, 88.887396, 92.309104, 87.17699, 76.0
14, 92.58272, 82.067099, 18.61539, 87.727, 91.772379, 87.32699, 76.0
15, 92.58272, 87.152435, 10.273245, 88.974656, 92.569562, 87.727, 76.0
game 9 
gen, best, mean, std, median, q1, q3, life
0, 91.772379, 19.329877, 35.714841, -5.313206, 36.916156, -5.786129, 74.0
1, 91.772379, 25.832045, 39.225371, 3.466611, 74.018873, -5.774552, 74.0
2, 92.576119, 37.656556, 40.542389, 30.203942, 87.201213, -5.533389, 76.0
3, 92.576119, 41.83768, 39.654635, 30.203942, 88.232877, 5.81823, 76.0
4, 92.576119, 49.182104, 40.838289, 44.08711, 87.884804, -2.872773, 76.0
5, 92.576119, 54.703456, 38.662285, 85.62385, 91.771481, 30.045213, 76.0
6, 92.576119, 54.394242, 36.224849, 61.449747, 87.727, 30.203942, 76.0
7, 92.576119, 64.658172, 30.905061, 85.62385, 91.771481, 32.453942, 76.0
8, 92.576119, 70.940166, 27.738793, 87.689946, 91.772379, 39.266662, 76.0
9, 92.576119, 73.692379, 24.457879, 87.727, 91.772379, 57.539657, 76.0
10, 92.58272, 74.517718, 26.333973, 88.467465, 92.379644, 48.392102, 76.0
11, 92.58272, 79.579662, 22.444909, 89.95403, 92.379644, 85.846688, 76.0
12, 92.58272, 81.957245, 20.111029, 89.332628, 92.500134, 87.727, 76.0
13, 92.58272, 79.366079, 21.816282, 88.887396, 92.309104, 87.17699, 76.0
14, 92.58272, 82.067099, 18.61539, 87.727, 91.772379, 87.32699, 76.0
15, 92.58272, 87.152435, 10.273245, 88.974656, 92.569562, 87.727, 76.0
