
game 0 
gen, best, mean, std, median, q1, q3, life
0, 91.772379, 28.091424, 35.820112, 25.897031, 48.834084, -5.533389, 74.0
1, 92.494055, 70.639546, 27.487475, 87.701995, 91.772379, 39.454823, 76.0
2, 92.862462, 85.049139, 15.204176, 91.772379, 91.772379, 86.229941, 82.0
3, 92.862462, 82.3531, 19.025723, 91.772379, 91.772379, 85.62385, 82.0
4, 92.927, 83.37553, 19.647929, 91.772379, 91.772379, 89.664202, 82.0
5, 92.927, 88.216988, 8.960642, 91.772379, 92.498614, 87.389493, 82.0
6, 92.927, 79.908497, 21.597696, 91.772379, 92.46599, 85.649638, 82.0
7, 92.927, 88.022132, 11.412089, 91.772379, 92.927, 88.873226, 82.0
8, 92.927, 91.838149, 1.39517, 92.327, 92.927, 91.772379, 82.0
9, 92.927, 92.298413, 0.984708, 92.927, 92.927, 91.772379, 82.0
10, 92.927, 92.516816, 0.845391, 92.927, 92.927, 92.627, 82.0
11, 92.927, 92.552167, 0.770826, 92.927, 92.927, 92.527, 82.0
12, 92.927, 92.816652, 0.302532, 92.927, 92.927, 92.927, 82.0
13, 92.927, 92.862309, 0.237074, 92.927, 92.927, 92.927, 82.0
14, 92.927, 92.927, 0.0, 92.927, 92.927, 92.927, 82.0
15, 92.927, 92.927, 0.0, 92.927, 92.927, 92.927, 82.0
game 1 
gen, best, mean, std, median, q1, q3, life
0, 92.512404, 27.353729, 38.287091, 12.225448, 64.348531, -5.736014, 76.0
1, 92.512404, 67.159345, 26.227531, 84.927, 87.727, 39.577055, 76.0
2, 93.127, 81.16481, 17.393695, 91.184946, 91.772379, 85.101213, 84.0
3, 93.127, 85.961502, 14.81008, 91.772379, 91.924195, 87.672124, 86.0
4, 93.127, 87.915657, 12.229249, 91.772379, 92.507816, 89.871585, 86.0
5, 93.127, 89.597421, 4.94711, 91.772379, 92.557385, 87.782786, 86.0
6, 93.727, 88.610197, 9.546997, 91.64969, 92.527, 88.146881, 90.0
7, 93.727, 88.793138, 11.330132, 91.89204, 93.127, 91.653631, 90.0
8, 93.727, 92.77988, 1.076884, 93.127, 93.727, 92.077, 90.0
9, 93.727, 93.130621, 0.967919, 93.727, 93.727, 93.127, 90.0
10, 93.727, 93.275536, 0.962724, 93.727, 93.727, 93.154054, 90.0
11, 93.727, 93.18825, 0.919608, 93.727, 93.727, 93.127, 90.0
12, 93.727, 93.727, 3e-06, 93.727, 93.727, 93.727, 90.0
13, 93.727, 93.557409, 0.520283, 93.727, 93.727, 93.727, 90.0
14, 93.727, 93.727, 3e-06, 93.727, 93.727, 93.727, 90.0
15, 93.727, 93.727, 3e-06, 93.727, 93.727, 93.727, 90.0
game 2 
gen, best, mean, std, median, q1, q3, life
0, 91.772379, 11.871178, 25.143133, -5.305762, 30.203942, -5.750957, 74.0
1, 91.772379, 43.266347, 32.235333, 39.454823, 81.343912, 21.33383, 74.0
2, 92.531096, 81.398406, 21.460338, 91.772379, 91.772379, 87.727, 76.0
3, 92.531096, 84.763873, 17.693594, 91.772379, 91.772379, 91.772379, 76.0
4, 92.576119, 85.510347, 16.049984, 91.772379, 91.772379, 88.518216, 76.0
5, 93.262462, 85.794661, 16.669499, 91.772379, 92.531096, 87.901213, 86.0
6, 93.262462, 73.71546, 26.641927, 88.432203, 92.517048, 43.577302, 86.0
7, 93.262462, 81.200597, 21.15666, 89.735117, 92.58272, 85.945139, 86.0
8, 93.262462, 80.125444, 21.645606, 88.632628, 92.555603, 85.62385, 86.0
9, 93.262462, 89.165098, 10.526952, 93.262462, 93.262462, 91.588345, 86.0
